Balayage complet {b1 anchor -> meilleur b2 oppose} pour tous les b1 du pool de base (4000 candidats, t=1..100, k=+/-1..10)
N1,N2 bornes a [1,65536]. Genere le 2026-08-29 09:45:11
==============================================================================================================

--- x0 = 13.457 --- (4000 appariements b1 valides : 2000 avec sign1=+, 2000 avec sign1=-  ;  4000 avec erreur < 1e-6) ---
       err |    t1   k1  sg1 |              b1 |    t2   k2  sg2 |              b2 |      N1      N2
  1.35e-13 |    72  -10    + |    92.855022824 |     7   -1    - |     6.985470721 |    5327   65356
  2.11e-13 |    54   -6    - |    52.189526983 |    92   -1    + |    11.279270473 |    3001   53375
  3.11e-13 |     6   -2    - |    16.065120811 |    95   -1    + |    11.280092050 |   40836   48925
  3.55e-13 |    76   -1    + |    11.274096413 |    98   -2    - |    15.913285236 |   34924   31037
  4.55e-13 |    39   -1    + |    11.251613779 |    97   -2    - |    15.913542383 |   51614   46337
  5.01e-13 |    59   -1    + |    11.266432521 |    89   -2    - |    15.915753143 |   13853   12342
  5.63e-13 |    24   -1    + |    11.229845346 |    92   -2    - |    15.914890377 |   40085   36322
  6.43e-13 |     4   -2    - |    16.110282639 |    92   -1    + |    11.279270473 |   48326   58879
  7.51e-13 |    52   -2    - |    15.931929014 |    93   -1    + |    11.279548745 |   41554   47231
  7.92e-13 |    84   -2    - |    15.917292488 |    97   -1    + |    11.280618468 |   29651   33519
  9.89e-13 |    20   -3    - |    25.038671909 |    97   -1    + |    11.280618468 |    4743   25240
  1.23e-12 |    53   -1    - |     6.866558072 |     5   -2    + |    20.174567049 |   43859   43029
  1.33e-12 |    89   -1    + |    11.278407708 |    90   -2    - |    15.915460767 |   40733   36096
  1.33e-12 |    90   -2    - |    15.915460767 |    89   -1    + |    11.278407708 |   36096   40733
  1.33e-12 |     5   -1    + |    11.109846765 |    94   -2    - |    15.914338286 |   37155   35489
  1.74e-12 |    96   -1    - |     6.849083252 |     4   -2    + |    20.148598496 |   45500   44931
  1.74e-12 |    19   -1    - |     6.912103970 |    10   -2    + |    20.239156973 |   39076   37709
  1.94e-12 |    77    2    + |   -15.919694471 |    89   -2    - |    15.915753143 |    3889   46465
  2.18e-12 |    74    3    + |   -24.985547024 |    90   -2    - |    15.915460767 |    3274   51195
  2.36e-12 |    64   -2    - |    15.925159656 |    89   -1    + |    11.278407708 |   52417   59384
  2.44e-12 |    16   -1    - |     6.922281410 |    11   -2    + |    20.246424982 |   43689   42050
  2.47e-12 |    96   -2    + |    20.345077599 |     3   -1    - |     7.083538425 |   49007   52964
  2.48e-12 |    87    1    + |    -6.851632660 |    98   -2    - |    15.913285236 |    6518   53891
